职位,职位诱惑,薪资,工作地点,工作经历,学历要求,工作种类,工作描述
Python开发工程师,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,20k-35k,北京,经验1-3年,本科及以上,全职,
python开发工程师,"股票期权,弹性工作制,行业龙头,地铁周边",15k-30k,北京,经验3-5年,本科及以上,全职,岗位职责：1、参与核心业务系统架构设计、开发、优化和维护；2.参与项目需求分析、业务逻辑流程设计、文档编写；3、跟踪和调研最新技术热点，推进新技术在研发中使用；4、解决系统性能的处理。任职要求：1、三年以上后台开发经验，熟悉python语言；2、熟悉MVC架构，精通Django、Tornado、Flask、web.py等至少一个开发框架；3、熟悉Mysql数据库和SQL性能优化；4、熟悉Redis/MongoDB等缓存技术；5、熟悉前端网页技术，包括HTML/CSS/JavaScript;6、熟悉Unix/Liunx操作系统、熟悉TCP/IP协议、HTTP协议7、全面的软件知识结构(操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全)
python开发工程师,"五险一金,年终奖,绩效奖,假期多",10k-15k,北京,经验1-3年,本科及以上,全职," 主要职责======== - 高并发高性能媒体服务器设计和开发- 完善现有自动化测试工具和测试用例- 大量媒体数据批量处理，转换和分析，在合适的场景引入人工智能相关技术 职位要求======== - 扎实的抽象分析能力，理工科专业相关背景和有算法分析基础的尤佳。- 掌握c/c++, java, erlang, python, lua, ocaml, scala, lisp, haskell中至少两门以上计算机语言的基本读写- 良好的代码风格，具有短而精的代码审美倾向- 不吸烟，不喜欢喝酒 公司待遇======== - 七险一金- 每年有春节假，旅游假两个超长假期，基本的带薪年假而且一定给你休- 本组基本不加班，更没有无谓的加班 "
Python开发工程师,"年轻团队,扁平管理,弹性工作,简单透明",15k-25k,上海,经验1-3年,本科及以上,全职,【岗位职责】1.使用Python对线上数据进行处理；2.根据金融业务设计TB级数据库表结构；3.数据库的日常维护和鼓掌处理；4.数据库用户权限的管理；5.编写、管理数据库规范化文档；6.负责SQL语句编写、审核与优化。【任职要求】1.大学本科以上学历，计算机相关专业，2年以上相关工作经验；2.具有Python等脚本语言开发经验；3.精通SQL和NoSQL数据库体系架构设计及高可用性解决方案；4.精通Shell等脚本语言；5.具有良好的学习能力、团队合作精神和乐观积极的工作态度；6.有互联网金融、信贷行业经验者优先。【更多福利】定期分享：组织行业或专业分享会，共同学习才能有进步期权计划：让我们与公司一起成长，做事业的合伙人【职业发展】入职培训+激励调薪+晋升机会，打破职场的天花板
Python,"带薪年假,定期体检,五险一金,福利多多",6k-12k,苏州,经验1-3年,本科及以上,全职,"有些路 一个人无法走远 总得有人并肩作战 这就是我们需要你的原因我们需要你：1、负责产品服务器端设计和代码实现 ；2、优化现有产品的功能和体验细节；3、积极调研新技术，随时准备用于产品 。我们期待遇见这样的你1、具有良好团队合作精神，有高度的责任心； 2、1年以上Python Web开发经验，开发语言Python, 了解lua，熟悉Web系统全站开发流程 ；3、有丰富的数据库建模经验，有MongoDB、Redis使用经验者优先 ； 4、熟练使用代码版本管理工具，git 优先 ； 5、对行业新技术有浓厚的兴趣，并积极合理的将其引入项目； 6、有自己的开源项目、或者对开源项目有贡献者优先 。  在这里，你将拥有——    一群让你为之骄傲的小伙伴：    热情坚定、乐于分享、自我驱动、追求极致的高效团队    自由平等的潜力平台：     福利体系（这只是一部分）：    每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖    生日会：全体伙伴陪你过 不让你孤单    社团：花样运动...... 总有人与你志同道合    学习成长：Mentor带你全方位成长，助你成为专业人才     欢迎你来发现更多的精彩......"
python开发工程师（本科，2年+）,"福利齐全,弹性工作制,技术平台好",10k-20k,广州,经验1-3年,本科及以上,全职,"* MUST BE Experienced Python designer. * Experienced in the following Python libs: asyncio, pandas, numpy, celery, SQLAlchemy, Flask, Flask-Admin* Experienced in XML parsing with Python, understanding DOM/SAX/eTree* Experienced Linux User* Good understanding about: RESTful, AMQP, Relational DB, Redis* Good understanding about sockets and general network protocols.* Good English (Reading/Writing. Good speaking English is an asset)* Telecom background/knowledge is an asset"
Python工程师,"精英团队,个人成长,外企文化,创业精神",12k-18k,深圳,经验1-3年,本科及以上,全职,"之前通过拉勾组建了iOS 小组，看到评论里面大家对我们公司面试人员的肯定，很是感激。我们福利挺好的，保障、奖金、团建、旅行、企业额外放假什么的。我们团队氛围好，所有人爱美食，然后喜欢打游戏的一拨、爱运动的一拨、骚的一拨。我们团队发展好，鼓励学习，鼓励专注，不鼓励加班。愿意资源和时间给个人发展。职责描述1. 负责各线产品的后台开发、测试和上线2. 负责后台技术选型和架构设计3. 负责开发流程、API接口、代码规范的制定，代码质量的把控、以及人员培养4. 负责后台性能、稳定性以及扩展性的分析和改进任职要求1.计算机或相关专业本科、硕士学历2. 2年以上互联网、数据、或者软件研发公司工作经验，主导过高质量的产品研发3. 精通Python语言，熟悉Golang,  Node.js, Java等编程语言者优先4. 熟悉数据库设计，良好的SQL使用能力"
Python研发工程师,餐补+年终奖+良好的晋升空间,25k-50k,北京,经验5-10年,本科及以上,全职,岗位职责：平台-构建-发展-优化1、参与基于大数据的分布式机器学习平台的设计与构建；2、紧跟业界前沿，针对不断增长的业务需求和算法多样性创新提供技术解决方案；3、对机器学习平台性能与可扩展性进行持续及深度优化；4、负责管理平台及后端应用的开发维护及不断优化。 任职要求：学历-语言-算法-框架-沟通1、计算机、数学、统计学或相关专业，本科及以上学历；2、熟练掌握Python编程语言，熟悉Django等主流Web框架；3、熟悉常见的机器学习算法，逻辑回归、SVM、决策树、贝叶斯以及各种深度学习网络包括CNN、RNN、 LSTM等；4、熟练使用scikit-learn、TensorFlow等主流深度学习框架；5、有Hadoop，MapReduce，Spark，Storm，HBase，Kafka等开发经验者优先。
Python开发工程师,"超优质团队,大牛带领,福利多多,发展前景",18k-22k,北京,经验3-5年,本科及以上,全职,【岗位职责】* 核心算法模型实现。* 算法后台API系统设计开发和维护。* 对代码质量及项目进度负责。【任职要求】* 3年以上Python相关开发经验，至少熟练使用一种常用的Web框架，如Flask、Django、Tornado。* 熟练使用Mysql、Postgresql、Redis等数据库，能熟练进行数据库设计与优化 。* 有较为广泛的知识体系，包括但不限于：多种编程语言（JAVA），服务端常用框架及代码库，操作系统相关。* 有数据分析和机器学习相关经验优先。* 有强烈的自我驱动能力和自学能力，乐于接受挑战，能够承受压力。
Python开发工程师,"不限量零食,福利多多,年终奖,办公环境好",15k-30k,北京,经验3-5年,学历不限,全职,## 工作职责- 负责移动端 API 、管理平台、支撑业务的开发和维护- 编写相应的单元测试## 岗位要求- 两年以上 Python 项目开发经验，熟悉 Tornado、Flask、Django 等框架- 熟悉 MySQL、Redis，能熟练进行数据库设计与优化- 认同单元测试，熟悉常用的测试框架和 mock- 熟悉 Python 常用的代码检测工具如：Flake8、Pylint- 熟练使用 Git，熟悉 Pull Request 工作流- 拥有良好的代码习惯，结构清晰，命名规范，逻辑性强- 善于思考，能独立分析和解决问题- 责任心强，具备良好的团队合作精神和承受压力的能力（如果您有 Blog、GitHub、Stack Overflow、微博、Twitter 帐号，强烈建议您附注在简历中）
python工程师,晋升空间大、福利好,12k-24k,上海,经验3-5年,本科及以上,全职,"岗位职责:风控系统研发工程师（python）岗位职责：1、建设和维护基于各类分布式系统和大数据平台的风控系统研发；2、开发与维护实时评分系统，包括算法部署模块与信息整合模块；3、负责与各业务系统交互之间的数据管理，需求分析，方案设计；4、开发和维护各类监控系统与业务报表；5、与需求方沟通数据需求, 对项目质量跟踪控制。任职资格:岗位要求：1. 有扎实的计算机系统原理知识，熟悉分布式系统原理，熟悉并行计算或者分布式计算；2、具备3年以上基于python大数据开发、服务端开发或研究经验；3、精通python开发，熟悉python各类webservice框架（django、flask、tornado等），熟悉pandas，numpy，scipy等数据处理包4、精通SQL，熟悉主流数据库SQL Server、MYSQL等5、熟悉大数据开发框架，HBase 、Spark/RDD、MR、 Cassandra等大数据主流工具和技术，熟悉Linux操作系统，Shell编程等;6、理解Batch和Near Realtime数据流采集方案。熟悉Kafka、ActiveMQ等消息队列；7、能够完成核心产品代码的研发工作，解决项目中关键问题和技术问题；8、熟悉数据挖掘算法以及具备模型部署经验为佳；"
Python开发／后端软件工程师.,氛围好,20k-30k,上海,经验3-5年,本科及以上,全职,"To act as a member of the Delivery team responsible for our backend systems, databases, internal APIs, Elasticsearch implementation, and other systems. To deliver software and systems improvements, new features, and new products on time and matching our coding standards.Required:                                                                                     At least 6 years working with Python in a professional environmentExperience with:Python frameworks such as Django and FlaskA Python ORM (e.g. SQLAlchemy)Gevent or another asynchronous libraryAbility to model data and optimize performance in MySQLUnderstand difference between multiprocessing, multithreading, and event based serversHave used automation technologies such as Ansible, Docker, Vagrant, Travis CI, etc.Be able to use Linux/MacOS on a daily basis; comfortable on command lineDesired:Familiar with GitHub, JIRA, and SlackNoSQL experienceTCP/IP, HTTP protocol, socket technologies (ZeroMQ)PHP language proficiency and knowledge of Laravel frameworkSOA and/or REST architecture practicesFamiliarity with Amazon AWS cloud servicesProficient in English (reading, typing, speaking)Strongly organized, able to juggle multiple tasks within the constraints of timelinesAttention to detail and an understanding of Linux technologiesBe passionate about learning new things and sharing them with teammatesWork in or be flexible to work in an agile and fast paced environment"
